ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
2,high,Weekday,0,0.8375,0.0,51,0.0,38.0
2,high,Weekday,1,0.8375,0.0,51,0.0,38.0
2,high,Weekday,2,0.8111111111111111,0.0,51,0.0,36.0
2,high,Weekday,3,0.8111111111111111,0.0,51,0.0,36.0
2,high,Weekday,4,0.8111111111111111,0.0,51,0.0,36.0
2,high,Weekday,5,0.8111111111111111,0.0,51,0.0,36.0
2,high,Weekday,6,0.7972222222222223,0.0,51,0.0,35.0
2,high,Weekday,7,0.7972222222222223,0.0,51,0.0,35.0
2,high,Weekday,8,0.7972222222222223,0.0,51,0.0,35.0
2,high,Weekday,9,0.7694444444444445,0.0,51,0.0,35.0
2,high,Weekday,10,0.7777777777777778,0.0,52,0.0,36.0
2,high,Weekday,11,0.736111111111111,0.0,52,0.0,35.0
2,high,Weekday,12,0.736111111111111,0.0,52,0.0,35.0
2,high,Weekday,13,0.8194444444444444,0.0,52,0.0,37.0
2,high,Weekday,14,0.7777777777777778,0.0,53,0.0,37.0
2,high,Weekday,15,0.7777777777777778,0.0,52,0.0,36.0
2,high,Weekday,16,0.8194444444444444,0.0,52,0.0,37.0
2,high,Weekday,17,0.8194444444444444,0.0,52,0.0,37.0
2,high,Weekday,18,0.8194444444444444,0.0,52,0.0,37.0
2,high,Weekday,19,0.8452380952380952,0.0,52,0.0,39.0
2,high,Weekday,20,0.8452380952380952,0.0,52,0.0,39.0
2,high,Weekday,21,0.8452380952380952,0.0,52,0.0,39.0
2,high,Weekday,22,0.8452380952380952,0.0,52,0.0,39.0
2,high,Weekday,23,0.8452380952380952,0.0,52,0.0,39.0
2,high,Saturday,0,0.8125,0.0,10,0.0,7.0
2,high,Saturday,1,0.8125,0.0,10,0.0,7.0
2,high,Saturday,2,0.8125,0.0,10,0.0,7.0
2,high,Saturday,3,0.8125,0.0,10,0.0,7.0
2,high,Saturday,4,0.8125,0.0,10,0.0,7.0
2,high,Saturday,5,0.8125,0.0,10,0.0,7.0
2,high,Saturday,6,0.8125,0.0,10,0.0,7.0
2,high,Saturday,7,0.8125,0.0,10,0.0,7.0
