ProfileID_i,season,daytype,hour,valid_obs_ratio,kw_mean,total_hours_sum,kw_std,valid_hours
12000770,high,Weekday,0,0.75,0.6772159095383937,87,0.5356736522788939,66.0
12000770,high,Weekday,1,0.75,0.5575189381620889,87,0.4885610513232617,66.0
12000770,high,Weekday,2,0.75,0.5603882539250084,87,0.498947921022136,66.0
12000770,high,Weekday,3,0.75,0.5478030285395852,87,0.5034609489055769,66.0
12000770,high,Weekday,4,0.75,0.7639962142936632,87,0.6017036154602917,66.0
12000770,high,Weekday,5,0.75,1.233977276112207,87,0.7885470201780165,66.0
12000770,high,Weekday,6,0.75,1.623162879064859,87,1.0597811535053476,66.0
12000770,high,Weekday,7,0.75,2.042054925029251,87,1.1905191181845707,66.0
12000770,high,Weekday,8,0.75,2.11072916476736,87,1.1425421432457292,66.0
12000770,high,Weekday,9,0.75,2.542395834058301,87,1.1976042814935204,66.0
12000770,high,Weekday,10,0.75,2.1690246244635834,87,1.068699560779832,66.0
12000770,high,Weekday,11,0.75,1.690167302831083,87,0.9310201760131379,66.0
12000770,high,Weekday,12,0.75,1.8475094781341879,87,0.9677340736376278,66.0
12000770,high,Weekday,13,0.75,2.1169507585106078,87,0.9242956541285154,66.0
12000770,high,Weekday,14,0.75,2.0326420506568286,87,0.822821044558131,66.0
12000770,high,Weekday,15,0.75,2.0328125042142347,87,0.8571925334140689,66.0
12000770,high,Weekday,16,0.75,2.551657204905165,87,0.9133166575708938,66.0
12000770,high,Weekday,17,0.75,2.6965814428121755,87,0.951833770666688,66.0
12000770,high,Weekday,18,0.7272727272727273,2.784331433745948,87,0.955198551347195,64.0
12000770,high,Weekday,19,0.7272727272727273,2.963212127014148,87,1.0258605273139332,64.0
12000770,high,Weekday,20,0.7272727272727273,2.9129223478111355,87,0.9482428723270784,64.0
12000770,high,Weekday,21,0.75,2.4121875005161697,87,0.8116869778577604,66.0
12000770,high,Weekday,22,0.75,1.630473484914877,87,0.7897122748710166,66.0
12000770,high,Weekday,23,0.75,1.1789204538204516,87,0.8184562716337482,66.0
12000770,high,Saturday,0,0.75,1.157072909703129,18,0.8191510969113948,13.0
12000770,high,Saturday,1,0.75,0.9928020829975139,18,0.7198117729248229,13.0
12000770,high,Saturday,2,0.75,1.1451874895778018,18,0.8204837102239786,13.0
12000770,high,Saturday,3,0.75,1.012406251434004,18,0.6367068445782379,13.0
12000770,high,Saturday,4,0.75,1.0332604165392696,18,0.7823515001345702,13.0
12000770,high,Saturday,5,0.75,1.1428125004284084,18,0.7458298679371234,13.0
12000770,high,Saturday,6,0.75,1.4711354150727858,18,0.7191042317449793,13.0
