RECORDER_ID,SERIAL_NO,CONFIG_TYPEID,START_TIME,END_TIME,GROUP_ID,active
VLK057,ERID-000VLK057,4,2012-01-01,2013-01-10,1000115,0
VLK057,ERID-000VLK057,4,2012-09-01,2014-01-10,1000126,0
VLK057,ERID-000VLK057,4,2014-01-01,2015-01-10,1000140,1
VLK058,ERID-000VLK058,4,2009-12-01,2010-10-31,1000098,0
VLK058,ERID-000VLK058,4,2010-11-01,2011-12-31,1000108,0
VLK058,ERID-000VLK058,4,2012-01-01,2013-01-10,1000115,0
VLK058,ERID-000VLK058,4,2012-09-01,2014-01-10,1000126,0
VLK058,ERID-000VLK058,4,2014-01-01,2015-01-10,1000140,1
VLK059,ERID-000VLK059,4,2009-12-01,2010-10-31,1000098,0
VLK059,ERID-000VLK059,4,2010-11-01,2011-12-31,1000108,0
VLK059,ERID-000VLK059,4,2012-01-01,2013-01-10,1000115,0
VLK059,ERID-000VLK059,4,2012-09-01,2014-01-10,1000126,0
VLK059,ERID-000VLK059,4,2014-01-01,2015-01-10,1000140,1
VLK060,ERID-000VLK060,4,2009-12-01,2010-10-31,1000098,0
VLK060,ERID-000VLK060,4,2010-11-01,2011-12-31,1000108,0
VLK060,ERID-000VLK060,4,2012-01-01,2013-01-10,1000115,0
VLK060,ERID-000VLK060,4,2012-09-01,2014-01-10,1000126,0
VLK060,ERID-000VLK060,4,2014-01-01,2015-01-10,1000140,1
VLK061,ERID-000VLK061,4,2009-12-01,2010-10-31,1000098,0
VLK061,ERID-000VLK061,4,2010-11-01,2011-12-31,1000108,0
VLK061,ERID-000VLK061,4,2012-01-01,2013-01-10,1000115,0
VLK061,ERID-000VLK061,4,2012-09-01,2014-01-10,1000126,0
VLK061,ERID-000VLK061,4,2014-01-01,2015-01-10,1000140,1
VLK062,ERID-000VLK062,4,2009-12-01,2010-10-31,1000098,0
VLK062,ERID-000VLK062,4,2010-11-01,2011-12-31,1000108,0
VLK062,ERID-000VLK062,4,2012-01-01,2013-01-10,1000115,0
VLK062,ERID-000VLK062,4,2012-09-01,2014-01-10,1000126,0
VLK062,ERID-000VLK062,4,2014-01-01,2015-01-10,1000140,1
VLK063,ERID-000VLK063,4,2009-12-01,2010-10-31,1000098,0
VLK063,ERID-000VLK063,4,2010-11-01,2011-12-31,1000108,0
VLK063,ERID-000VLK063,4,2012-01-01,2013-01-10,1000115,0
VLK063,ERID-000VLK063,4,2012-09-01,2014-01-10,1000126,0
VLK063,ERID-000VLK063,4,2014-01-01,2015-01-10,1000140,1
VLK064,ERID-000VLK064,4,2009-12-01,2010-10-31,1000098,0
VLK064,ERID-000VLK064,4,2010-11-01,2011-12-31,1000108,0
VLK064,ERID-000VLK064,4,2012-01-01,2013-01-10,1000115,0
VLK064,ERID-000VLK064,4,2012-09-01,2014-01-10,1000126,0
VLK064,ERID-000VLK064,4,2014-01-01,2015-01-10,1000140,1
VLK065,ERID-000VLK065,4,2009-12-01,2010-10-31,1000098,0
VLK065,ERID-000VLK065,4,2010-11-01,2011-12-31,1000108,0
VLK065,ERID-000VLK065,4,2012-01-01,2013-01-10,1000115,0
VLK065,ERID-000VLK065,4,2012-09-01,2014-01-10,1000126,0
VLK065,ERID-000VLK065,4,2014-01-01,2015-01-10,1000140,1
VLK066,ERID-000VLK066,4,2009-12-01,2010-10-31,1000098,0
VLK066,ERID-000VLK066,4,2010-11-01,2011-12-31,1000108,0
VLK066,ERID-000VLK066,4,2012-01-01,2013-01-10,1000115,0
VLK066,ERID-000VLK066,4,2012-09-01,2014-01-10,1000126,0
VLK066,ERID-000VLK066,4,2014-01-01,2015-01-10,1000140,1
VLK067,ERID-000VLK067,4,2009-12-01,2010-10-31,1000098,0
VLK067,ERID-000VLK067,4,2010-11-01,2011-12-31,1000108,0
VLK067,ERID-000VLK067,4,2012-01-01,2013-01-10,1000115,0
VLK067,ERID-000VLK067,4,2012-09-01,2014-01-10,1000126,0
VLK067,ERID-000VLK067,4,2014-01-01,2015-01-10,1000140,1
VLK068,ERID-000VLK068,4,2009-12-01,2010-10-31,1000098,0
VLK068,ERID-000VLK068,4,2010-11-01,2011-12-31,1000108,0
VLK068,ERID-000VLK068,4,2012-01-01,2013-01-10,1000115,0
VLK068,ERID-000VLK068,4,2012-09-01,2014-01-10,1000126,0
VLK068,ERID-000VLK068,4,2014-01-01,2015-01-10,1000140,1
VLK069,ERID-000VLK069,4,2009-12-01,2010-10-31,1000098,0
VLK069,ERID-000VLK069,4,2010-11-01,2011-12-31,1000108,0
VLK069,ERID-000VLK069,4,2012-01-01,2013-01-10,1000115,0
VLK069,ERID-000VLK069,4,2012-09-01,2014-01-10,1000126,0
VLK069,ERID-000VLK069,4,2014-01-01,2015-01-10,1000140,1
VLK070,ERID-000VLK070,4,2009-12-01,2010-10-31,1000098,0
VLK070,ERID-000VLK070,4,2010-11-01,2011-12-31,1000108,0
VLK070,ERID-000VLK070,4,2012-01-01,2013-01-10,1000115,0
VLK070,ERID-000VLK070,4,2012-09-01,2014-01-10,1000126,0
VLK070,ERID-000VLK070,4,2014-01-01,2015-01-10,1000140,1
VLK071,ERID-000VLK071,4,2009-12-01,2010-10-31,1000098,0
VLK071,ERID-000VLK071,4,2010-11-01,2011-12-31,1000108,0
VLK071,ERID-000VLK071,4,2012-01-01,2013-01-10,1000115,0
VLK071,ERID-000VLK071,4,2012-09-01,2014-01-10,1000126,0
