AnswerID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,lock
141,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
143,a,,,,,,,,Boil water in kettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
145,a,,,,,,,,Boil water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
147,a,,,,,,,,Boil water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
149,a,,,,,,,,Boil water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
151,a,,,,,,,,Boil water on stove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
153,a,,,,,,,,Boil water in kettle and on stove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155,a,,,,,,,,Do not use geyser because uses too much electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
157,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
159,a,,,,,,,,Boil water on stove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
161,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
163,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
165,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
167,a,,,,,,,,Boil water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
175,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
177,a,,,,,,,Beauty Salon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
179,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
181,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
183,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
185,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
187,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
189,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
191,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
193,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
195,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
