QuestionID,QuestionaireID,Question,Datatype,ColumnNo,ColumnAlias,lock
53,3,EducHeadMatric,3,45,EducHeadMatric                                                                                                                                                                                                                                                 ,0
54,3,EducHeadTertiary,3,46,EducHeadTertiary                                                                                                                                                                                                                                               ,0
55,3,EducSpouseNone,3,47,EducSpouseNone                                                                                                                                                                                                                                                 ,0
56,3,EducSpouseGrade 1,3,48,EducSpouseGrade1                                                                                                                                                                                                                                               ,0
57,3,EducSpouseGrade 2,3,49,EducSpouseGrade2                                                                                                                                                                                                                                               ,0
58,3,EducSpouseStd 1,3,50,EducSpouseStd1                                                                                                                                                                                                                                                 ,0
59,3,EducSpouseStd 2,3,51,EducSpouseStd2                                                                                                                                                                                                                                                 ,0
60,3,EducSpouseStd 3,3,52,EducSpouseStd3                                                                                                                                                                                                                                                 ,0
61,3,EducSpouseStd 4,3,53,EducSpouseStd4                                                                                                                                                                                                                                                 ,0
62,3,EducSpouseStd 5,3,54,EducSpouseStd5                                                                                                                                                                                                                                                 ,0
63,3,EducSpouseStd 6,3,55,EducSpouseStd6                                                                                                                                                                                                                                                 ,0
64,3,EducSpouseStd 7,3,56,EducSpouseStd7                                                                                                                                                                                                                                                 ,0
65,3,EducSpouseStd 8,3,57,EducSpouseStd8                                                                                                                                                                                                                                                 ,0
66,3,EducSpouseStd 9,3,58,EducSpouseStd9                                                                                                                                                                                                                                                 ,0
67,3,EducSpouseMatric,3,59,EducSpouseMatric                                                                                                                                                                                                                                               ,0
68,3,EducSpouseTertiary,3,60,EducSpouseTertiary                                                                                                                                                                                                                                             ,0
69,3,EducOlder16None,3,61,EducOlder16None                                                                                                                                                                                                                                                ,0
70,3,EducOlder16Grade 1,3,62,EducOlder16Grade1                                                                                                                                                                                                                                              ,0
71,3,EducOlder16Grade 2,3,63,EducOlder16Grade2                                                                                                                                                                                                                                              ,0
72,3,EducOlder16Std 1,3,64,EducOlder16Std1                                                                                                                                                                                                                                                ,0
73,3,EducOlder16Std 2,3,65,EducOlder16Std2                                                                                                                                                                                                                                                ,0
74,3,EducOlder16Std 3,3,66,EducOlder16Std3                                                                                                                                                                                                                                                ,0
75,3,EducOlder16Std 4,3,67,EducOlder16Std4                                                                                                                                                                                                                                                ,0
76,3,EducOlder16Std 5,3,68,EducOlder16Std5                                                                                                                                                                                                                                                ,0
77,3,EducOlder16Std 6,3,69,EducOlder16Std6                                                                                                                                                                                                                                                ,0
78,3,EducOlder16Std 7,3,70,EducOlder16Std7                                                                                                                                                                                                                                                ,0
80,3,EducOlder16Std 9,3,72,EducOlder16Std9                                                                                                                                                                                                                                                ,0
81,3,EducOlder16Matric,3,73,EducOlder16Matric                                                                                                                                                                                                                                              ,0
82,3,EducOlder16Tertiary,3,74,EducOlder16Tertiary                                                                                                                                                                                                                                            ,0
83,3,EducUnder16None,3,75,EducUnder16None                                                                                                                                                                                                                                                ,0
84,3,EducUnder16Grade 1,3,76,EducUnder16Grade1                                                                                                                                                                                                                                              ,0
85,3,EducUnder16Grade 2,3,77,EducUnder16Grade2                                                                                                                                                                                                                                              ,0
86,3,EducUnder16Std 1,3,78,EducUnder16Std1                                                                                                                                                                                                                                                ,0
87,3,EducUnder16Std 2,3,79,EducUnder16Std2                                                                                                                                                                                                                                                ,0
88,3,EducUnder16Std 3,3,80,EducUnder16Std3                                                                                                                                                                                                                                                ,0
89,3,EducUnder16Std 4,3,81,EducUnder16Std4                                                                                                                                                                                                                                                ,0
90,3,EducUnder16Std 5,3,82,EducUnder16Std5                                                                                                                                                                                                                                                ,0
91,3,EducUnder16Std 6,3,83,EducUnder16Std6                                                                                                                                                                                                                                                ,0
92,3,EducUnder16Std 7,3,84,EducUnder16Std7                                                                                                                                                                                                                                                ,0
93,3,EducUnder16Std 8,3,85,EducUnder16Std8                                                                                                                                                                                                                                                ,0
94,3,EducUnder16Std 9,3,86,EducUnder16Std9                                                                                                                                                                                                                                                ,0
95,3,EducUnder16Matric,3,87,EducUnder16Matric                                                                                                                                                                                                                                              ,0
96,3,EducUnder16Tertiary,3,88,EducUnder16Tertiary                                                                                                                                                                                                                                            ,0
