QuestionID,QuestionaireID,Question,Datatype,ColumnNo,ColumnAlias,lock
240,3,Number of females: 16-24,3,232,Females16To24                                                                                                                                                                                                                                                  ,0
241,3,Type of small business,2,8,BusinessType                                                                                                                                                                                                                                                   ,0
1,5,Language ID,3,1,LanguageNo                                                                                                                                                                                                                                                     ,0
242,3,Where does your hotwater ome from/ other than geyser,1,9,HotwaterSouce                                                                                                                                                                                                                                                  ,0
243,3,Other appliances,2,10,OtherAppliances                                                                                                                                                                                                                                                ,0
2,5,Language name,2,1,LanguageName                                                                                                                                                                                                                                                   ,0
1,6,HouseholdNo,3,1,HouseholdNo                                                                                                                                                                                                                                                    ,0
2,6,RespondentName,2,1,RespondentName                                                                                                                                                                                                                                                 ,0
3,6,TelNo,2,2,TelNo                                                                                                                                                                                                                                                          ,0
4,6,PostalCode,2,3,PostalCode                                                                                                                                                                                                                                                     ,0
5,6,AreaCode,2,4,AreaCode                                                                                                                                                                                                                                                       ,0
115,7,Number of rooms,3,105,Rooms                                                                                                                                                                                                                                                          ,0
116,7,Watersource,3,106,WatersourceCode                                                                                                                                                                                                                                                ,0
117,7,ApplianceStove3plateNumber,3,107,ApplianceStove3plateNumber                                                                                                                                                                                                                                     ,0
118,7,ApplianceStove4plateNumber,3,108,ApplianceStove4plateNumber                                                                                                                                                                                                                                     ,0
119,7,ApplianceHotplateNumber,3,109,ApplianceHotplateNumber                                                                                                                                                                                                                                        ,0
120,7,ApplianceHeaterNumber,3,110,ApplianceHeaterNumber                                                                                                                                                                                                                                          ,0
121,7,ApplianceKettleNumber,3,111,ApplianceKettleNumber                                                                                                                                                                                                                                          ,0
122,7,ApplianceIronNumber,3,112,ApplianceIronNumber                                                                                                                                                                                                                                            ,0
123,7,ApplianceGeyserNumber,3,113,ApplianceGeyserNumber                                                                                                                                                                                                                                          ,0
124,7,ApplianceWashingMachineNumber,3,114,ApplianceWashingMachineNumber                                                                                                                                                                                                                                  ,0
125,7,ApplianceTVNumber,3,115,ApplianceTVNumber                                                                                                                                                                                                                                              ,0
126,7,ApplianceHiFiRadioNumber,3,116,ApplianceHiFiRadioNumber                                                                                                                                                                                                                                       ,0
127,7,ApplianceLightsNumber,3,117,ApplianceLightsNumber                                                                                                                                                                                                                                          ,0
128,7,ApplianceFridgeFreezerNumber,3,118,ApplianceFridgeFreezerNumber                                                                                                                                                                                                                                   ,0
129,7,ApplianceDeepFreezeNumber,3,119,ApplianceDeepFreezeNumber                                                                                                                                                                                                                                      ,0
130,7,ApplianceMicrowaveNumber,3,120,ApplianceMicrowaveNumber                                                                                                                                                                                                                                       ,0
131,7,ApplianceTumbleDrierNumber,3,121,ApplianceTumbleDrierNumber                                                                                                                                                                                                                                     ,0
132,7,ApplianceOtherNumber,3,122,ApplianceOtherNumber                                                                                                                                                                                                                                           ,0
133,7,ApplianceStove3plateWorking,3,123,ApplianceStove3plateWorking                                                                                                                                                                                                                                    ,0
134,7,ApplianceStove4plateWorking,3,124,ApplianceStove4plateWorking                                                                                                                                                                                                                                    ,0
135,7,ApplianceHotplateWorking,3,125,ApplianceHotplateWorking                                                                                                                                                                                                                                       ,0
136,7,ApplianceHeaterWorking,3,126,ApplianceHeaterWorking                                                                                                                                                                                                                                         ,0
137,7,ApplianceKettleWorking,3,127,ApplianceKettleWorking                                                                                                                                                                                                                                         ,0
138,7,ApplianceIronWorking,3,128,ApplianceIronWorking                                                                                                                                                                                                                                           ,0
139,7,ApplianceGeyserWorking,3,129,ApplianceGeyserWorking                                                                                                                                                                                                                                         ,0
140,7,ApplianceWashingMachineWorking,3,130,ApplianceWashingMachineWorking                                                                                                                                                                                                                                 ,0
244,7,IncomeRefused,3,180,IncomeRefuse                                                                                                                                                                                                                                                   ,0
245,7,Ownership of underfloor heating,3,181,ApplianceUnderFloorHeating                                                                                                                                                                                                                                     ,0
246,7,Is Underfloor heating working,3,182,ApplianceUnderFloorHeatingWorking                                                                                                                                                                                                                              ,0
247,7,ApplianceUnderFloorHeatingUsage,3,183,ApplianceUnderFloorHeatingUsage                                                                                                                                                                                                                                ,0
248,7,AltApplianceStove3plateNumber,3,184,AltApplianceStove3plateNumber                                                                                                                                                                                                                                  ,0
249,7,AltApplianceStove4plateNumber,3,185,AltApplianceStove4plateNumber                                                                                                                                                                                                                                  ,0
250,7,AltApplianceHotplateNumber,3,186,AltApplianceHotplateNumber                                                                                                                                                                                                                                     ,0
251,7,AltApplianceHeaterNumber,3,187,AltApplianceHeaterNumber                                                                                                                                                                                                                                       ,0
252,7,AltApplianceKettleNumber,3,188,AltApplianceKettleNumber                                                                                                                                                                                                                                       ,0
253,7,AltApplianceIronNumber,3,189,AltApplianceIronNumber                                                                                                                                                                                                                                         ,0
254,7,AltApplianceGeyserNumber,3,190,AltApplianceGeyserNumber                                                                                                                                                                                                                                       ,0
255,7,AltApplianceLightsNumber,3,191,AltApplianceLightsNumber                                                                                                                                                                                                                                       ,0
256,7,AltApplianceFridgeNumber,3,192,AltApplianceFridgeNumber                                                                                                                                                                                                                                       ,0
257,7,AltApplianceDeepFreezeNumber,3,193,AltApplianceDeepFreezeNumber                                                                                                                                                                                                                                   ,0
258,7,AltApplianceOtherNumber,3,194,AltApplianceOtherNumber                                                                                                                                                                                                                                        ,0
259,7,AltApplianceStove3plateWorking,3,195,AltApplianceStove3plateWorking                                                                                                                                                                                                                                 ,0
260,7,AltApplianceStove4plateWorking,3,196,AltApplianceStove4plateWorking                                                                                                                                                                                                                                 ,0
261,7,AltApplianceHotplateWorking,3,197,AltApplianceHotplateWorking                                                                                                                                                                                                                                    ,0
262,7,AltApplianceHeaterWorking,3,198,AltApplianceHeaterWorking                                                                                                                                                                                                                                      ,0
263,7,AltApplianceKettleWorking,3,199,AltApplianceKettleWorking                                                                                                                                                                                                                                      ,0
264,7,AltApplianceIronWorking,3,200,AltApplianceIronWorking                                                                                                                                                                                                                                        ,0
265,7,AltApplianceGeyserWorking,3,201,AltApplianceGeyserWorking                                                                                                                                                                                                                                      ,0
266,7,AltApplianceOtherWorking,3,202,AltApplianceOtherWorking                                                                                                                                                                                                                                       ,0
267,7,AltApplianceStove3plateEnergyUsed,3,203,AltApplianceStove3plateEnergyUsed                                                                                                                                                                                                                              ,0
268,7,AltApplianceStove4plateEnergyUsed,3,204,AltApplianceStove4plateEnergyUsed                                                                                                                                                                                                                              ,0
269,7,AltApplianceHotplateEnergyUsed,3,205,AltApplianceHotplateEnergyUsed                                                                                                                                                                                                                                 ,0
2,8,Alternative Energy description,2,1,AltEnergiesDescription                                                                                                                                                                                                                                         ,0
270,7,AltApplianceHeaterEnergyUsed,3,206,AltApplianceHeaterEnergyUsed                                                                                                                                                                                                                                   ,0
96,7,EducUnder16Tertiary,3,88,EducUnder16Tertiary                                                                                                                                                                                                                                            ,0
71,7,EducOlder16Grade 2,3,63,EducOlder16Grade2                                                                                                                                                                                                                                              ,0
20,7,Number of femals: 50+,3,12,FemalesOlder50                                                                                                                                                                                                                                                 ,0
22,7,Head emploed part time,3,14,EmployHeadPartTime                                                                                                                                                                                                                                             ,0
24,7,Head on pension,3,16,EmployHeadPension                                                                                                                                                                                                                                              ,0
26,7,Spouse full time employed,3,18,EmploySpouseFull                                                                                                                                                                                                                                               ,0
28,7,Spouse unemployed,3,20,EmploySpouseUnemployed                                                                                                                                                                                                                                         ,0
30,7,Spouse self employed,3,22,EmploySpouseSelf                                                                                                                                                                                                                                               ,0
32,7,Persons older than 16 years: Employed parttime,3,24,EmployOlder16part                                                                                                                                                                                                                                              ,0
207,7,CookChildrenWeekDayLunch,3,155,CookChildrenWeekDayLunch                                                                                                                                                                                                                                       ,0
43,7,EducHeadGrade 2,3,35,EducHeadGrade2                                                                                                                                                                                                                                                 ,0
45,7,EducHeadStd 2,3,37,EducHeadStd2                                                                                                                                                                                                                                                   ,0
56,7,EducSpouseGrade 1,3,48,EducSpouseGrade1                                                                                                                                                                                                                                               ,0
57,7,EducSpouseGrade 2,3,49,EducSpouseGrade2                                                                                                                                                                                                                                               ,0
58,7,EducSpouseStd 1,3,50,EducSpouseStd1                                                                                                                                                                                                                                                 ,0
59,7,EducSpouseStd 2,3,51,EducSpouseStd2                                                                                                                                                                                                                                                 ,0
60,7,EducSpouseStd 3,3,52,EducSpouseStd3                                                                                                                                                                                                                                                 ,0
136,6,SpouseStd6,3,123,SpouseStd6                                                                                                                                                                                                                                                     ,0
137,6,SpouseStd7,3,124,SpouseStd7                                                                                                                                                                                                                                                     ,0
138,6,SpouseStd8,3,125,SpouseStd8                                                                                                                                                                                                                                                     ,0
139,6,SpouseStd9,3,126,SpouseStd9                                                                                                                                                                                                                                                     ,0
140,6,SpouseTersiary,3,127,SpouseTersiary                                                                                                                                                                                                                                                 ,0
141,6,Younger16Grade1,3,128,Younger16Grade1                                                                                                                                                                                                                                                ,0
142,6,Younger16Grade2,3,129,Younger16Grade2                                                                                                                                                                                                                                                ,0
209,7,CookChildrenSaturdayBreakfast,3,157,CookChildrenSaturdayBreakfast                                                                                                                                                                                                                                  ,0
210,7,CookChildrenSaturdayLunch,3,158,CookChildrenSaturdayLunch                                                                                                                                                                                                                                      ,0
211,7,CookChildrenSaturdayDinner,3,159,CookChildrenSaturdayDinner                                                                                                                                                                                                                                     ,0
212,7,CookChildrenSundayBreakfast,3,160,CookChildrenSundayBreakfast                                                                                                                                                                                                                                    ,0
213,7,CookChildrenSundayLunch,3,161,CookChildrenSundayLunch                                                                                                                                                                                                                                        ,0
214,7,CookChildrenSundayDinner,3,162,CookChildrenSundayDinner                                                                                                                                                                                                                                       ,0
215,7,AltFuelCoalCook,3,163,AltFuelCoalCook                                                                                                                                                                                                                                                ,0
216,7,AltFuelParaffinCook,3,164,AltFuelParaffinCook                                                                                                                                                                                                                                            ,0
217,7,AltFuelGasCook,3,165,AltFuelGasCook                                                                                                                                                                                                                                                 ,0
218,7,AltFuelWoodCook,3,166,AltFuelWoodCook                                                                                                                                                                                                                                                ,0
219,7,AltFuelCharcoalCook,3,167,AltFuelCharcoalCook                                                                                                                                                                                                                                            ,0
220,7,AltFuelCoalHeat,3,168,AltFuelCoalHeat                                                                                                                                                                                                                                                ,0
221,7,AltFuelParaffinHeat,3,169,AltFuelParaffinHeat                                                                                                                                                                                                                                            ,0
222,7,AltFuelGasHeat,3,170,AltFuelGasHeat                                                                                                                                                                                                                                                 ,0
223,7,AltFuelWoodHeat,3,171,AltFuelWoodHeat                                                                                                                                                                                                                                                ,0
224,7,AltFuelCharcoalHeat,3,172,AltFuelCharcoalHeat                                                                                                                                                                                                                                            ,0
225,7,What is the size of the main switch?,3,173,MainSwitch                                                                                                                                                                                                                                                     ,0
226,7,Do you supply any outbuildings (including loose standing garage) with ,3,174,SupplyOfOutBuildings                                                                                                                                                                                                                                           ,0
227,7,How long have you had electricity here in this house?,3,175,TimeWithElectricity                                                                                                                                                                                                                                            ,0
228,7,PQLightsDim,3,176,PQLightsDim                                                                                                                                                                                                                                                    ,0
232,7,PQGoesOff,3,177,PQGoesOff                                                                                                                                                                                                                                                      ,0
236,7,PQTrips,3,178,PQTrips                                                                                                                                                                                                                                                        ,0
240,7,Number of females: 16-24,3,179,Females16To24                                                                                                                                                                                                                                                  ,0
241,7,Type of small business,2,8,BusinessType                                                                                                                                                                                                                                                   ,0
242,7,Where does your hotwater ome from/ other than geyser,1,9,HotwaterSouce                                                                                                                                                                                                                                                  ,0
243,7,Other appliances,2,10,OtherAppliances                                                                                                                                                                                                                                                ,0
271,7,AltApplianceKettleEnergyUsed,3,207,AltApplianceKettleEnergyUsed                                                                                                                                                                                                                                   ,0
272,7,AltApplianceIronEnergyUsed,3,208,AltApplianceIronEnergyUsed                                                                                                                                                                                                                                     ,0
273,7,AltApplianceGeyserEnergyUsed,3,209,AltApplianceGeyserEnergyUsed                                                                                                                                                                                                                                   ,0
274,7,AltApplianceLightsEnergyUsed,3,210,AltApplianceLightsEnergyUsed                                                                                                                                                                                                                                   ,0
275,7,AltApplianceFridgeEnergyUsed,3,211,AltApplianceFridgeEnergyUsed                                                                                                                                                                                                                                   ,0
276,7,AltApplianceDeepFreezeEnergyUsed,3,212,AltApplianceDeepFreezeEnergyUsed                                                                                                                                                                                                                               ,0
277,7,AltApplianceOtherEnergyUsed,3,213,AltApplianceOtherEnergyUsed                                                                                                                                                                                                                                    ,0
278,7,AltApplianceStove3plateUsage,3,214,AltApplianceStove3plateUsage                                                                                                                                                                                                                                   ,0
279,7,AltApplianceStove4plateUsage,3,215,AltApplianceStove4plateUsage                                                                                                                                                                                                                                   ,0
280,7,AltApplianceHotplateUsage,3,216,AltApplianceHotplateUsage                                                                                                                                                                                                                                      ,0
281,7,AltApplianceHeaterUsage,3,217,AltApplianceHeaterUsage                                                                                                                                                                                                                                        ,0
282,7,AltApplianceKettleUsage,3,218,AltApplianceKettleUsage                                                                                                                                                                                                                                        ,0
283,7,AltApplianceIronUsage,3,219,AltApplianceIronUsage                                                                                                                                                                                                                                          ,0
284,7,AltApplianceGeyserUsage,3,220,AltApplianceGeyserUsage                                                                                                                                                                                                                                        ,0
288,7,AltApplianceOtherUsage,3,221,AltApplianceOtherUsage                                                                                                                                                                                                                                         ,0
289,7,AltApplianceOtherList,2,11,AltApplianceOtherList                                                                                                                                                                                                                                          ,0
1,8,Alternative Energies ID,3,1,AltEnergiesID                                                                                                                                                                                                                                                  ,0
87,7,EducUnder16Std 2,3,79,EducUnder16Std2                                                                                                                                                                                                                                                ,0
88,7,EducUnder16Std 3,3,80,EducUnder16Std3                                                                                                                                                                                                                                                ,0
89,7,EducUnder16Std 4,3,81,EducUnder16Std4                                                                                                                                                                                                                                                ,0
90,7,EducUnder16Std 5,3,82,EducUnder16Std5                                                                                                                                                                                                                                                ,0
91,7,EducUnder16Std 6,3,83,EducUnder16Std6                                                                                                                                                                                                                                                ,0
92,7,EducUnder16Std 7,3,84,EducUnder16Std7                                                                                                                                                                                                                                                ,0
93,7,EducUnder16Std 8,3,85,EducUnder16Std8                                                                                                                                                                                                                                                ,0
94,7,EducUnder16Std 9,3,86,EducUnder16Std9                                                                                                                                                                                                                                                ,0
95,7,EducUnder16Matric,3,87,EducUnder16Matric                                                                                                                                                                                                                                              ,0
97,7,Do you or does anyone else  get or receive any other money from family or friends outsidethis household?,3,89,IncomeExternalYesNo                                                                                                                                                                                                                                            ,0
98,7,How much money from external source,3,90,IncomeExternal                                                                                                                                                                                                                                                 ,0
99,7,"Does this household make any other money from the sale of agricultural produce (e.g. sugar cane,meat, poultry, maize, vegetables, etc.) ?",3,91,IncomeAggriculturalYesNo                                                                                                                                                                                                                                       ,0
100,7,How much is made from the sale of aggricultural products,3,92,IncomeAggricultural                                                                                                                                                                                                                                            ,0
101,7,"Does this household get any other money fromany other sources like child maintenance,small business etc. ?",3,93,IncomeSmallBusinessYesNo                                                                                                                                                                                                                                       ,0
102,7,How much money from Small business etc.,3,94,IncomeSmallBusiness                                                                                                                                                                                                                                            ,0
103,7,How many adults earn salary?,3,95,NumberAdultsEarningSalary                                                                                                                                                                                                                                      ,0
104,7,How much do all the adults earn per month before deductions?,3,96,IncomeAdults                                                                                                                                                                                                                                                   ,0
105,7,Sex of household head: Male,3,97,SexHouseholdHeadMale                                                                                                                                                                                                                                           ,0
107,7,Dwelling ownership: Own,3,98,OwnDwelling                                                                                                                                                                                                                                                    ,0
109,7,Small business using electtricity,3,99,SmallBusiness                                                                                                                                                                                                                                                  ,0
